,乘客编号,订单金额,叫车时间
0,210435946,14.49,2020/2/29 17:26
1,907820914,22.98,2020/2/29 17:25
2,11703871,21.09,2020/2/29 17:24
3,938325219,25.98,2020/2/29 17:23
4,212530389,23.76,2020/2/29 17:21
5,945251056,23.43,2020/2/29 17:21
6,268426909,37.15,2020/2/29 17:20
7,254114038,36.72,2020/2/29 17:17
8,270810065,23.94,2020/2/29 17:17
9,364582700,25.84,2020/2/29 17:17
10,236470941,13.35,2020/2/29 17:16
11,293511782,21.22,2020/2/29 17:16
12,233918505,29.4,2020/2/29 17:14
13,12541295,18.2,2020/2/29 17:13
14,959384643,25.56,2020/2/29 17:10
15,960728621,26.7,2020/2/29 17:10
16,909047700,39.63,2020/2/29 17:10
17,12592214,15.45,2020/2/29 17:10
18,311558143,26.12,2020/2/29 17:09
19,910821941,24.98,2020/2/29 17:08
20,12590050,36.13,2020/2/29 17:08
21,995707937,40.44,2020/2/29 17:07
22,13914957,34.57,2020/2/29 17:07
23,13855523,32.64,2020/2/29 17:07
24,978774199,16.23,2020/2/29 17:07
25,968844800,25.9,2020/2/29 17:06
26,936108021,27.74,2020/2/29 17:06
27,13474287,20.01,2020/2/29 17:06
28,968330589,22.3,2020/2/29 17:06
29,913189227,14.42,2020/2/29 17:05
30,341464432,12.18,2020/2/29 17:04
31,322387544,20.19,2020/2/29 17:04
32,370670621,32.37,2020/2/29 17:04
33,950227146,41.18,2020/2/29 17:03
34,963901327,41.78,2020/2/29 17:03
35,942303191,18.12,2020/2/29 17:03
36,257678387,28.64,2020/2/29 17:02
37,929736971,25.47,2020/2/29 17:02
38,12780080,15.98,2020/2/29 17:02
39,921918069,29.64,2020/2/29 17:01
40,971686405,20.06,2020/2/29 17:01
41,928852137,25.68,2020/2/29 17:00
42,948623730,23.37,2020/2/29 17:00
43,907510943,42.57,2020/2/29 16:58
44,949946570,19.41,2020/2/29 16:58
45,280230722,54.93,2020/2/29 16:58
46,13612887,33.46,2020/2/29 16:58
47,969172810,27.66,2020/2/29 16:58
48,912281131,38.23,2020/2/29 16:57
49,368014048,21.34,2020/2/29 16:57
50,201447671,18.15,2020/2/29 16:57
51,208426912,21.33,2020/2/29 16:55
52,210764466,44.52,2020/2/29 16:55
53,916002352,42.72,2020/2/29 16:55
54,338433265,43.95,2020/2/29 16:55
55,251938221,35,2020/2/22 9:13
56,908890504,45.08,2020/2/29 16:54
57,220194254,26.58,2020/2/29 16:54
58,986423411,36.3,2020/2/29 16:53
59,991949710,19.15,2020/2/29 16:53
60,265134001,17.6,2020/2/29 16:52
61,948177385,42.3,2020/2/29 16:52
62,205665971,25.17,2020/2/29 16:52
63,963702883,17.29,2020/2/29 16:52
64,350773670,34.96,2020/2/29 16:52
65,213994947,12.4,2020/2/29 16:51
66,249936367,17.66,2020/2/29 16:50
67,371899107,43.16,2020/2/29 16:50
68,331841901,26.23,2020/2/29 16:50
69,939425090,16.04,2020/2/29 16:50
70,301224681,34.11,2020/2/29 16:50
71,997665932,19.99,2020/2/29 16:50
72,933128877,30.21,2020/2/29 16:19
73,979374469,35.56,2020/2/29 16:49
74,265066181,20.56,2020/2/29 16:48
75,921472500,21.12,2020/2/29 16:47
76,13376761,46.2,2020/2/29 16:47
77,397431361,70.66,2020/2/29 16:45
78,915398294,30.24,2020/2/29 16:44
79,314057177,35.5,2020/2/29 16:44
80,239749961,29.1,2020/2/29 16:44
81,378407253,19.35,2020/2/29 16:44
82,928727238,42.56,2020/2/29 16:43
83,331115335,80.32,2020/2/29 16:43
84,936270239,41.49,2020/2/29 16:43
85,221029298,31.53,2020/2/29 16:42
86,996183333,20.92,2020/2/29 16:42
87,398467471,35.05,2020/2/29 16:41
88,935207368,34.35,2020/2/29 16:40
89,289969816,41.64,2020/2/29 16:40
90,965163269,29.41,2020/2/29 16:39
91,969172810,21.18,2020/2/29 16:39
92,323171646,18.87,2020/2/29 16:39
93,927303329,63.66,2020/2/29 16:39
94,932824072,24.46,2020/2/29 16:39
95,381687125,19.3,2020/2/29 16:37
96,287569083,41.67,2020/2/29 16:37
97,918027725,22.39,2020/2/29 16:37
98,343944908,35.48,2020/2/29 16:36
99,263137288,19.33,2020/2/29 16:36
100,272335474,14.5,2020/2/29 16:36
101,924908180,36.76,2020/2/29 16:36
102,908073206,37.44,2020/2/29 16:36
103,941083639,61.97,2020/2/29 16:36
104,380421205,23.04,2020/2/29 16:34
105,956210098,47.02,2020/2/29 16:33
106,917574636,26.23,2020/2/29 16:33
107,928084859,35,2020/2/29 16:33
108,993040269,48.68,2020/2/29 16:32
109,344376676,50.08,2020/2/29 16:32
110,258147942,15.26,2020/2/29 16:31
111,203745868,13.54,2020/2/29 16:30
112,912181140,22.69,2020/2/29 16:29
113,334425443,37.58,2020/2/29 16:29
114,922137437,27.48,2020/2/29 16:29
115,386046917,23.96,2020/2/29 16:28
116,299056961,24.1,2020/2/29 16:28
117,945398791,13.6,2020/2/29 16:27
118,353874621,15.75,2020/2/29 16:27
119,951726642,38.37,2020/2/29 16:27
120,925446353,48.7,2020/2/29 16:27
121,978685875,44.16,2020/2/29 16:25
122,256332060,30.68,2020/2/29 16:25
123,14165354,68.71,2020/2/29 16:25
124,230303021,33.12,2020/2/29 16:24
125,977694940,14.28,2020/2/29 16:23
126,14116686,22.22,2020/2/29 16:22
127,12522582,16.51,2020/2/29 16:21
128,970631084,19.71,2020/2/29 16:21
129,919361817,36.07,2020/2/29 16:20
130,239835545,41.96,2020/2/29 16:19
131,937746627,30.42,2020/2/29 16:19
132,324776679,19.71,2020/2/29 16:19
133,910821941,20.19,2020/2/29 16:16
134,295012747,22.17,2020/2/29 16:16
135,12575138,48.27,2020/2/29 16:16
136,237563102,16.8,2020/2/29 16:15
137,923505353,22.2,2020/2/29 16:13
138,232296839,22,2020/2/29 16:12
139,260970118,31.41,2020/2/29 16:12
140,236344540,12.36,2020/2/29 16:09
141,998067073,15.67,2020/2/29 16:08
142,253483350,18.14,2020/2/29 16:08
143,333859411,38.08,2020/2/29 16:07
144,363000357,41.85,2020/2/29 16:07
145,955877243,60.54,2020/2/29 16:06
146,989223899,18.56,2020/2/29 16:06
147,285701753,25.89,2020/2/29 16:05
148,313651603,40.96,2020/2/29 16:05
149,987015711,43.77,2020/2/29 16:05
150,988476729,33.07,2020/2/29 16:04
151,949157371,15.99,2020/2/29 16:02
152,944360533,17.96,2020/2/29 16:01
153,961492751,32.41,2020/2/29 16:00
154,380973614,13.02,2020/2/29 15:59
155,988815382,28.96,2020/2/29 15:59
156,927100745,56.11,2020/2/29 15:59
157,234229771,39.75,2020/2/29 15:59
158,929798363,23.1,2020/2/29 15:59
159,920999567,31.76,2020/2/29 15:59
160,13424316,34.92,2020/2/29 15:59
161,397436601,147.48,2020/2/29 15:58
162,901956796,13.32,2020/2/29 15:56
163,373107791,78.52,2020/2/29 15:56
164,337317403,30.94,2020/2/29 15:52
165,289135107,30.01,2020/2/29 15:52
166,386881518,18.82,2020/2/29 15:52
167,315117533,16.51,2020/2/29 15:52
168,291592272,38,2020/2/29 15:52
169,218539328,42.02,2020/2/29 15:51
170,241478007,18.93,2020/2/29 15:51
171,931240352,14.62,2020/2/29 15:50
172,211609988,25.05,2020/2/29 15:50
173,336833249,94.63,2020/2/29 15:50
174,996713782,61.72,2020/2/29 15:50
175,918106513,40.87,2020/2/29 15:50
176,907510943,47.26,2020/2/29 15:49
177,12569170,13.1,2020/2/29 15:49
178,14424939,29.88,2020/2/29 15:48
179,288808044,11.68,2020/2/29 15:47
180,927350865,19.23,2020/2/29 15:46
181,13857421,55.18,2020/2/29 15:45
182,307430621,21.5,2020/2/29 15:44
183,11770552,34.11,2020/2/29 15:44
184,13474287,19.95,2020/2/29 15:44
185,312334667,36.54,2020/2/29 15:43
186,934705787,36.52,2020/2/29 15:42
187,926909512,25.77,2020/2/29 15:41
188,289853113,25.27,2020/2/29 15:40
189,238640557,29.42,2020/2/29 15:40
190,953512915,32.67,2020/2/29 15:40
191,932079755,17.98,2020/2/29 15:40
192,270810065,25.51,2020/2/29 15:37
193,210021963,22.65,2020/2/29 15:36
194,992123247,36.52,2020/2/29 15:36
195,952460835,87.42,2020/2/29 15:36
196,314415203,86.98,2020/2/29 15:36
197,907510943,18.44,2020/2/29 15:35
198,971116245,28.94,2020/2/29 15:34
199,12669510,19.74,2020/2/29 15:34
200,12669510,19.74,2020/2/29 15:34
201,220885547,12.9,2020/2/29 15:34
202,952220825,18.26,2020/2/29 15:34
203,967916010,39.09,2020/2/29 15:31
204,975442990,31.39,2020/2/29 15:30
205,349835071,13.14,2020/2/29 15:30
206,300549794,22.92,2020/2/29 15:29
207,266554379,47.97,2020/2/29 15:29
208,921869997,38.91,2020/2/29 15:29
209,277009501,18.13,2020/2/29 15:28
210,12585464,21.15,2020/2/29 15:28
211,338953322,33.67,2020/2/29 15:28
212,364166970,26.55,2020/2/29 15:26
213,989223899,27.06,2020/2/29 15:26
214,949174301,19.39,2020/2/29 15:25
215,317576606,34.88,2020/2/29 15:25
216,368014048,21.74,2020/2/29 15:25
217,928270415,30.97,2020/2/29 15:25
218,953921041,18.55,2020/2/29 15:24
219,907282250,15.43,2020/2/29 15:24
220,324976695,22.34,2020/2/29 15:21
221,12519119,32.25,2020/2/29 15:21
222,220885547,12.55,2020/2/29 15:21
223,940702810,40.77,2020/2/29 15:20
224,292509400,18.66,2020/2/29 15:19
225,928084859,32.13,2020/2/29 15:19
226,963482080,23.43,2020/2/29 15:19
227,262847345,44.9,2020/2/29 15:18
228,977037470,32.46,2020/2/29 15:17
229,998935481,35.46,2020/2/29 15:16
230,242513527,28.89,2020/2/29 15:16
231,13841123,43.35,2020/2/29 15:16
232,343873079,23.37,2020/2/29 15:15
233,977990628,21.86,2020/2/29 15:15
234,379467132,22.52,2020/2/29 15:13
235,919361817,27.36,2020/2/29 15:13
236,948623730,23.6,2020/2/29 15:13
237,253653087,50.48,2020/2/29 15:13
238,201823198,23.16,2020/2/29 15:11
239,996538090,17.1,2020/2/29 15:11
240,272335474,13.52,2020/2/29 15:10
241,923085781,17.59,2020/2/29 15:09
242,994205062,24.09,2020/2/29 15:08
243,256861391,71.2,2020/2/29 15:08
244,272929257,19.66,2020/2/29 15:07
245,275425901,84.1,2020/2/29 15:07
246,267518127,25.66,2020/2/29 15:07
247,979973921,32.11,2020/2/29 15:06
248,262165539,36.19,2020/2/29 15:06
249,13612887,39.22,2020/2/29 15:05
250,376369758,28.92,2020/2/29 15:05
251,969954432,27.82,2020/2/29 15:04
252,903564920,19.96,2020/2/29 15:03
253,973151765,24.03,2020/2/29 15:03
254,915617913,16.76,2020/2/29 15:02
255,984667628,13.69,2020/2/29 15:01
256,973440100,30.55,2020/2/29 15:01
257,262343570,19.41,2020/2/29 15:01
258,305776636,18.04,2020/2/29 15:00
259,391224611,100.42,2020/2/29 15:00
260,935931597,16.44,2020/2/29 14:59
261,342821460,26.67,2020/2/29 14:59
262,990600471,41.64,2020/2/29 14:58
263,292794511,16.39,2020/2/29 14:58
264,300549794,26.34,2020/2/29 14:57
265,981096210,57.94,2020/2/29 14:57
266,14424294,23.48,2020/2/29 14:57
267,310698777,25.69,2020/2/29 14:57
268,266688009,53.23,2020/2/29 14:56
269,953188182,13.74,2020/2/29 14:56
270,925218226,21.27,2020/2/29 14:55
271,925346917,18.03,2020/2/29 14:54
272,946986952,23.28,2020/2/29 14:53
273,13109424,78.54,2020/2/29 14:53
274,922696285,24.22,2020/2/29 14:52
275,902545524,18.74,2020/2/29 14:52
276,901098713,26.97,2020/2/29 14:51
277,316061767,36.16,2020/2/29 14:50
278,394076618,60.33,2020/2/29 14:50
279,263043108,18.4,2020/2/29 14:48
280,938983225,30.87,2020/2/29 14:47
281,395800905,22.65,2020/2/29 14:47
282,984895215,22.77,2020/2/29 14:47
283,957897859,20.19,2020/2/29 14:47
284,954488013,21.82,2020/2/29 14:47
285,12516152,34,2020/2/29 14:46
286,943927715,31.11,2020/2/29 14:46
287,390493153,17.86,2020/2/29 14:46
288,215610472,34.46,2020/2/29 14:45
289,351123643,23.02,2020/2/29 14:45
290,311476645,22.27,2020/2/29 14:42
291,371158310,31.48,2020/2/29 14:41
292,235172522,15.96,2020/2/29 14:40
293,299056961,23.78,2020/2/29 14:39
294,327562761,22.17,2020/2/29 14:38
295,304148166,25.16,2020/2/29 14:38
296,968582865,44.49,2020/2/29 14:38
297,953512915,31.95,2020/2/29 14:36
298,944906499,43.62,2020/2/29 14:36
299,927100745,51.31,2020/2/29 14:35
300,923085781,20.34,2020/2/29 14:33
301,956826238,20.88,2020/2/29 14:33
302,933128877,34.34,2020/2/29 14:33
303,288808044,20.48,2020/2/29 14:33
304,999056110,18.16,2020/2/29 14:31
305,954380052,34.35,2020/2/29 14:30
306,931240352,16.77,2020/2/29 14:29
307,201419996,37.39,2020/2/29 14:29
308,283305410,15.1,2020/2/29 14:28
309,916002352,41.73,2020/2/29 14:28
310,982002689,39.54,2020/2/29 14:28
311,935207368,51.99,2020/2/29 14:27
312,350373616,26.89,2020/2/29 14:27
313,995990300,65.83,2020/2/29 14:26
314,948030543,23.82,2020/2/29 14:25
315,918319769,29.42,2020/2/29 14:25
316,960250229,35.37,2020/2/29 14:24
317,955080621,26.67,2020/2/29 14:24
318,938322527,25.48,2020/2/29 14:23
319,997010737,26.19,2020/2/29 14:22
320,947410702,87.34,2020/2/29 14:22
321,272929257,22.39,2020/2/29 14:21
322,211609988,28.74,2020/2/29 14:21
323,257893880,17.01,2020/2/29 14:21
324,311560089,27.25,2020/2/29 14:21
325,263928540,45.02,2020/2/29 14:20
326,244893296,33.3,2020/2/29 14:20
327,996538090,16.24,2020/2/29 14:20
328,906091946,17.36,2020/2/29 14:20
329,998966038,29,2020/2/29 14:19
330,990446100,22.6,2020/2/29 14:19
331,304592196,101.99,2020/2/29 14:19
332,391876620,94.92,2020/2/29 14:19
333,13841123,38.92,2020/2/29 14:17
334,13979094,44.3,2020/2/29 14:16
335,374549320,24.7,2020/2/29 14:16
336,929533667,37.41,2020/2/29 14:16
337,945541125,15.79,2020/2/29 14:14
338,927983053,21.54,2020/2/29 14:14
339,307736612,35.6,2020/2/29 14:13
340,235172522,17.5,2020/2/29 14:13
341,980533201,25.24,2020/2/29 14:13
342,939182287,42.34,2020/2/29 14:11
343,938960459,23.26,2020/2/29 14:11
344,900441557,42.53,2020/2/29 14:10
345,319007315,46.82,2020/2/29 14:10
346,981924347,28.3,2020/2/29 14:10
347,12669510,19.27,2020/2/29 14:09
348,955720193,23.23,2020/2/29 14:09
349,905213027,19.81,2020/2/29 14:08
350,969082079,15.26,2020/2/29 14:08
351,946851004,26.18,2020/2/29 14:07
352,911934173,25.36,2020/2/29 14:07
353,973416718,115.68,2020/2/29 14:07
354,361976348,24.28,2020/2/29 14:06
355,917644773,17.56,2020/2/29 14:05
356,252489111,32.37,2020/2/29 14:05
357,361396151,53.31,2020/2/29 14:04
358,988463598,89.8,2020/2/29 14:02
359,957821258,25.45,2020/2/29 14:02
360,998067073,19.08,2020/2/29 14:01
361,277009501,19.06,2020/2/29 14:00
362,908073206,36.19,2020/2/29 14:00
363,918319769,28.09,2020/2/29 14:00
364,968315293,36.56,2020/2/29 13:59
365,202189902,18.31,2020/2/29 13:59
366,13941502,47.62,2020/2/29 13:59
367,379425158,49.51,2020/2/29 13:59
368,918851607,49.22,2020/2/29 13:58
369,373789768,35.86,2020/2/29 13:57
370,977900750,29.36,2020/2/29 13:57
371,327893490,13.47,2020/2/29 13:57
372,394232596,43.03,2020/2/29 13:57
373,991903947,33.58,2020/2/29 13:56
374,219483623,39.86,2020/2/29 13:56
375,906024896,36.58,2020/2/29 13:56
376,986679735,32.76,2020/2/29 13:56
377,973440100,29.89,2020/2/29 13:55
378,203977315,59.74,2020/2/29 13:55
379,987388475,33.8,2020/2/29 13:54
380,390493153,33.94,2020/2/29 13:54
381,340173266,35.71,2020/2/29 13:54
382,12935616,13.93,2020/2/29 13:53
383,264195781,41.29,2020/2/29 13:53
384,252550941,17.91,2020/2/29 13:50
385,930869555,20.37,2020/2/29 13:50
386,975442990,15.37,2020/2/29 13:50
387,945029601,67.63,2020/2/29 13:50
388,937202656,33.64,2020/2/29 13:50
389,996183333,22.78,2020/2/29 13:49
390,308435480,14.82,2020/2/29 13:49
391,966257697,40.59,2020/2/29 13:48
392,957897859,31.74,2020/2/29 13:48
393,964799316,22.51,2020/2/29 13:48
394,986864990,38.07,2020/2/29 13:48
395,304592196,35.44,2020/2/29 13:47
396,969724479,14.14,2020/2/29 13:47
397,927457744,37.04,2020/2/29 13:46
398,907282250,40.8,2020/2/29 13:46
399,925372699,33.19,2020/2/29 13:46
400,243987841,24.72,2020/2/29 13:46
401,306641968,22.38,2020/2/29 13:46
402,947620987,39.72,2020/2/29 13:45
403,219230256,24.21,2020/2/29 13:45
404,221667287,23.42,2020/2/29 13:44
405,970126052,27.18,2020/2/29 13:44
406,900592422,24.33,2020/2/29 13:43
407,374505622,43.42,2020/2/29 13:42
408,12621561,31.84,2020/2/29 13:41
409,210143550,138.57,2020/2/29 13:41
410,226061939,17.25,2020/2/29 13:40
411,266512755,23.59,2020/2/29 13:40
412,361848285,16.81,2020/2/29 13:40
413,985653250,67.78,2020/2/29 13:39
414,973831092,33.21,2020/2/29 13:39
415,230183409,22.38,2020/2/29 13:39
416,13421787,24.18,2020/2/29 13:38
417,943748512,27.33,2020/2/29 13:37
418,332352556,16.32,2020/2/29 13:36
419,918080544,27.15,2020/2/29 13:36
420,337317403,33.57,2020/2/29 13:35
421,263139068,24.84,2020/2/29 13:35
422,312422527,19.15,2020/2/29 13:33
423,900185722,29.86,2020/2/29 13:33
424,11170212,20.65,2020/2/29 13:33
425,346623779,46.42,2020/2/29 13:32
426,912820098,17.92,2020/2/29 13:32
427,985934194,25.42,2020/2/29 13:32
428,391224611,103.93,2020/2/29 8:52
429,263812797,17.47,2020/2/29 13:29
430,283305410,16.32,2020/2/29 13:28
431,348436483,22.96,2020/2/29 13:28
432,932824072,24.31,2020/2/29 13:28
433,990430782,26.92,2020/2/29 13:27
434,218228602,66.43,2020/2/29 13:27
435,13879301,23.83,2020/2/29 13:27
436,271984226,29.62,2020/2/29 13:27
437,352395112,26.07,2020/2/29 13:26
438,323874685,15.72,2020/2/29 13:26
439,970829040,16.76,2020/2/29 13:26
440,968100243,31.1,2020/2/29 13:26
441,388436477,19.72,2020/2/29 13:25
442,909759241,34.47,2020/2/29 13:25
443,944906499,43.86,2020/2/29 13:22
444,13225852,45.16,2020/2/29 13:22
445,385675613,31.75,2020/2/29 13:20
446,928754511,30.73,2020/2/29 13:20
447,293567389,16.5,2020/2/29 13:20
448,982329597,18.67,2020/2/29 13:19
449,256332060,34.83,2020/2/29 13:19
450,943221541,14.04,2020/2/29 13:19
451,992927250,20.24,2020/2/29 13:17
452,210133379,16.95,2020/2/29 13:17
453,955831338,15.9,2020/2/29 13:17
454,232735024,18.08,2020/2/29 13:16
455,990185963,14.66,2020/2/29 13:15
456,229452192,23.4,2020/2/29 13:15
457,282242512,61.81,2020/2/29 13:14
458,288377958,25.68,2020/2/29 13:13
459,983417099,25.48,2020/2/29 13:13
460,952163799,27.61,2020/2/29 13:13
461,912651741,28.39,2020/2/29 13:11
462,12493220,45.32,2020/2/29 13:11
463,257986333,36.19,2020/2/29 13:11
464,213961107,23.74,2020/2/29 13:10
465,12632019,21.02,2020/2/29 13:10
466,314016287,14,2020/2/29 13:09
467,323874685,12.21,2020/2/29 13:09
468,975442990,40.4,2020/2/29 13:07
469,374923473,28.98,2020/2/29 13:07
470,961541549,58.29,2020/2/29 13:07
471,325178229,15.69,2020/2/29 13:07
472,938325219,24.75,2020/2/29 13:06
473,393874641,12.5,2020/2/29 13:06
474,12514855,20.35,2020/2/29 13:06
475,14395527,98.53,2020/2/29 13:05
476,275100117,15.85,2020/2/29 13:04
477,979973921,36.86,2020/2/29 13:04
478,334516573,21.79,2020/2/29 13:02
479,971362893,24.93,2020/2/29 13:01
480,304592196,23.85,2020/2/29 13:01
481,390944390,36.13,2020/2/29 12:58
482,979835955,57.51,2020/2/29 12:58
483,222230546,60.18,2020/2/29 12:55
484,917966989,21.03,2020/2/29 12:54
485,264055702,42.12,2020/2/29 12:54
486,904353240,17.74,2020/2/29 12:53
487,999531969,38.37,2020/2/29 12:53
488,14601065,56.23,2020/2/29 12:51
489,989700195,36.6,2020/2/29 12:51
490,327027198,47.38,2020/2/29 12:51
491,924069276,27.57,2020/2/29 12:50
492,928270415,19.74,2020/2/29 12:49
493,909376562,30.92,2020/2/29 12:49
494,909604835,37.84,2020/2/29 12:48
495,998918725,28.27,2020/2/29 12:48
496,205967492,36.46,2020/2/29 12:47
497,962463446,33.56,2020/2/29 12:46
498,963983220,12.81,2020/2/29 12:46
499,396747485,15.72,2020/2/29 12:45
500,260028916,19.41,2020/2/29 12:44
501,384161732,44.12,2020/2/29 12:44
502,926220007,50.04,2020/2/29 12:43
503,255107378,19.48,2020/2/29 12:43
504,240551337,40.47,2020/2/29 12:43
505,244870587,86.67,2020/2/29 12:43
506,237849511,31.26,2020/2/29 12:42
507,293343301,25.69,2020/2/29 12:42
508,924592885,31.38,2020/2/29 12:42
509,345522786,28.36,2020/2/29 12:41
510,913918882,25.29,2020/2/29 12:41
511,205710225,17.47,2020/2/29 12:40
512,999056110,17.06,2020/2/29 12:39
513,987634215,35.76,2020/2/29 12:39
514,370138512,24.82,2020/2/29 12:39
515,374436679,20.24,2020/2/29 12:38
516,318704273,17.41,2020/2/29 12:36
517,939080162,59.91,2020/2/29 12:36
518,282022833,16.36,2020/2/29 12:36
519,952871920,28.7,2020/2/29 12:34
520,12541770,18.5,2020/2/29 12:34
521,919464925,22.62,2020/2/29 12:33
522,305076694,27.42,2020/2/29 12:32
523,376369758,36.66,2020/2/29 12:30
524,236117207,43.5,2020/2/29 12:29
525,935207368,49.83,2020/2/29 12:29
526,938757578,32.28,2020/2/29 12:27
527,913954254,25.36,2020/2/29 12:26
528,996903125,50.23,2020/2/29 12:26
529,944837593,23.95,2020/2/29 12:24
530,382599433,30.91,2020/2/29 12:24
531,358073627,21.58,2020/2/29 12:24
532,280711933,14.66,2020/2/29 12:24
533,940314815,17.43,2020/2/29 12:23
534,357294489,77.59,2020/2/29 12:23
535,984667628,13.77,2020/2/29 12:23
536,352496746,22.26,2020/2/29 12:23
537,943881265,28.83,2020/2/29 12:22
538,202356253,19.17,2020/2/29 12:22
539,13741710,14.18,2020/2/29 12:21
540,351500767,38.05,2020/2/29 12:21
541,951210091,22.7,2020/2/29 12:20
542,200705930,18.45,2020/2/29 12:19
543,305453077,16.16,2020/2/29 12:19
544,931061234,22.15,2020/2/29 12:18
545,935101148,46.32,2020/2/29 12:17
546,968644028,17.66,2020/2/29 12:16
547,956391411,33.46,2020/2/29 12:15
548,241537904,22.94,2020/2/29 12:15
549,365632386,13.47,2020/2/29 12:13
550,208899942,32.62,2020/2/29 12:11
551,307857670,13.63,2020/2/29 12:11
552,918378860,38.35,2020/2/29 12:11
553,393445495,37.12,2020/2/29 12:09
554,278852051,20.24,2020/2/29 12:09
555,308931298,24.13,2020/2/29 12:07
556,962442799,40.82,2020/2/29 12:07
557,901344939,36.63,2020/2/29 12:07
558,980504415,30.32,2020/2/29 12:05
559,992848703,28.56,2020/2/29 12:04
560,986116061,29.97,2020/2/29 12:03
561,224023156,33.54,2020/2/29 12:03
562,922696285,25.1,2020/2/29 12:03
563,984895215,23.38,2020/2/29 12:02
564,278101159,32.89,2020/2/29 12:02
565,273639010,45.4,2020/2/29 12:00
566,13617796,23.23,2020/2/29 12:00
567,929874590,31.52,2020/2/29 12:00
568,340173266,34.65,2020/2/29 11:59
569,213373025,14.52,2020/2/29 11:59
570,907712487,23.95,2020/2/29 11:59
571,301976672,40.87,2020/2/29 11:58
572,988320672,31.46,2020/2/29 11:58
573,935538027,21.69,2020/2/29 11:58
574,203888507,26.61,2020/2/29 11:57
575,227838185,22.72,2020/2/29 11:56
576,957626222,19.38,2020/2/29 11:55
577,336833249,43.46,2020/2/29 11:54
578,242065023,20.43,2020/2/29 11:53
579,268897670,49.48,2020/2/29 11:52
580,977528961,19.09,2020/2/29 11:52
581,921679197,30.31,2020/2/29 11:51
582,227105083,22.16,2020/2/29 11:49
583,369975691,135.5,2020/2/29 11:49
584,202103496,31.51,2020/2/29 11:49
585,961708178,20.88,2020/2/29 11:48
586,988622502,14.4,2020/2/29 11:48
587,970361421,15.12,2020/2/29 11:48
